City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
479,Treinta Y Tres,UY,-33.2333,-54.3833,66.85,85,0,11.01,clear sky
480,Bonanza,NI,14.0289,-84.591,72.03,94,100,1.63,overcast clouds
481,Salur,IN,18.5333,83.2167,78.01,72,2,1.32,clear sky
482,Sitka,US,57.0531,-135.33,39.2,56,75,9.22,light snow
483,Lubao,PH,14.9167,120.55,84.2,65,75,4.61,broken clouds
484,Saint-Joseph,RE,-21.3667,55.6167,78.8,73,75,9.22,broken clouds
485,Teeli,RU,51.0333,90.2333,39.67,60,4,1.28,clear sky
486,Kisangani,CD,0.5167,25.2,69.03,99,100,1.03,moderate rain
487,Ivanteyevka,RU,55.9711,37.9208,39.0,93,90,8.95,light rain
488,Hobyo,SO,5.3505,48.5268,78.94,63,5,8.97,clear sky
489,Acarau,BR,-2.8856,-40.12,80.58,82,95,15.66,overcast clouds
490,Shaoguan,CN,24.8,113.5833,66.65,69,59,4.99,broken clouds
491,Vanino,RU,49.0869,140.2543,29.91,92,100,11.68,snow
492,Elizabeth City,US,36.2946,-76.2511,62.6,63,75,4.61,broken clouds
493,Tinskoy,RU,56.1525,96.9161,33.76,81,100,8.81,overcast clouds
494,Mitzic,GA,0.7821,11.549,68.65,98,87,2.8,light rain
495,Nome,US,64.5011,-165.4064,6.8,56,1,14.97,clear sky
496,Traiguen,CL,-38.25,-72.6833,51.84,80,3,0.72,clear sky
497,Yorkton,CA,51.2167,-102.4677,60.8,27,1,6.91,clear sky
498,Mayo,US,38.8876,-76.5119,61.0,67,1,8.63,clear sky
